,MeshID,Vertice1,Vertice2,Vertice3
175,1,96,162,158
176,1,162,96,100
177,1,83,137,127
178,1,137,83,103
179,1,74,127,113
180,1,127,74,83
181,1,69,113,100
182,1,113,69,74
183,1,66,100,96
184,1,100,66,69
185,1,76,103,83
186,1,103,76,91
187,1,68,83,74
188,1,83,68,76
189,1,59,74,69
190,1,74,59,68
191,1,56,69,66
192,1,69,56,59
193,1,84,91,76
194,1,91,84,105
195,1,75,76,68
196,1,76,75,84
197,1,70,68,59
198,1,68,70,75
199,1,67,59,56
200,1,59,67,70
201,1,128,105,84
202,1,105,128,139
203,1,114,84,75
204,1,84,114,128
205,1,101,75,70
206,1,75,101,114
207,1,97,70,67
208,1,70,97,101
209,1,173,139,128
210,1,139,173,181
211,1,169,128,114
212,1,128,169,173
213,1,163,114,101
214,1,114,163,169
215,1,159,101,97
216,1,101,159,163
217,1,283,181,173
218,1,181,283,281
219,1,285,173,169
220,1,173,285,283
221,1,287,169,163
222,1,169,287,285
223,1,288,163,159
224,1,163,288,287
225,1,355,281,283
226,1,281,355,349
227,1,359,283,285
228,1,283,359,355
229,1,365,285,287
230,1,285,365,359
231,1,369,287,288
232,1,287,369,365
233,1,400,349,355
234,1,349,400,391
235,1,414,355,359
236,1,355,414,400
237,1,427,359,365
238,1,359,427,414
239,1,431,365,369
240,1,365,431,427
241,1,439,391,400
242,1,391,439,425
243,1,453,400,414
244,1,400,453,439
245,1,458,414,427
246,1,414,458,453
247,1,461,427,431
248,1,427,461,458
249,1,443,425,439
250,1,425,443,437
251,1,459,439,453
252,1,439,459,443
253,1,463,453,458
254,1,453,463,459
255,1,464,458,461
256,1,458,464,463
257,1,455,464,462
258,1,464,455,460
259,1,441,462,454
260,1,462,441,455
261,1,433,454,440
262,1,454,433,441
263,1,422,440,436
264,1,440,422,433
265,1,419,460,455
266,1,460,419,430
267,1,403,455,441
268,1,455,403,419
269,1,394,441,433
270,1,441,394,403
271,1,388,433,422
272,1,433,388,394
273,1,360,430,419
274,1,430,360,368
275,1,356,419,403
276,1,419,356,360
277,1,352,403,394
278,1,403,352,356
279,1,346,394,388
280,1,394,346,352
281,1,241,368,360
282,1,368,241,239
283,1,243,360,356
284,1,360,243,241
285,1,245,356,352
286,1,356,245,243
287,1,246,352,346
288,1,352,246,245
289,1,166,239,241
290,1,239,166,158
291,1,170,241,243
292,1,241,170,166
293,1,174,243,245
294,1,243,174,170
295,1,178,245,246
296,1,245,178,174
297,1,107,158,166
298,1,158,107,96
299,1,123,166,170
300,1,166,123,107
301,1,132,170,174
302,1,170,132,123
303,1,136,174,178
304,1,174,136,132
305,1,71,96,107
306,1,96,71,66
307,1,77,107,123
308,1,107,77,71
309,1,93,123,132
310,1,123,93,77
311,1,102,132,136
312,1,132,102,93
313,1,62,66,71
314,1,66,62,56
315,1,73,71,77
316,1,71,73,62
317,1,82,77,93
318,1,77,82,73
319,1,89,93,102
320,1,93,89,82
321,1,72,56,62
322,1,56,72,67
323,1,78,62,73
324,1,62,78,72
325,1,94,73,82
326,1,73,94,78
327,1,104,82,89
328,1,82,104,94
329,1,108,67,72
330,1,67,108,97
331,1,124,72,78
332,1,72,124,108
333,1,133,78,94
334,1,78,133,124
335,1,138,94,104
336,1,94,138,133
337,1,167,97,108
338,1,97,167,159
339,1,171,108,124
340,1,108,171,167
341,1,175,124,133
342,1,124,175,171
343,1,180,133,138
344,1,133,180,175
345,1,286,159,167
346,1,159,286,288
347,1,284,167,171
348,1,167,284,286
349,1,282,171,175
350,1,171,282,284
351,1,280,175,180
352,1,175,280,282
353,1,361,288,286
354,1,288,361,369
355,1,357,286,284
356,1,286,357,361
357,1,353,284,282
358,1,284,353,357
359,1,348,282,280
360,1,282,348,353
361,1,420,369,361
362,1,369,420,431
363,1,404,361,357
364,1,361,404,420
365,1,395,357,353
366,1,357,395,404
367,1,390,353,348
368,1,353,390,395
369,1,456,431,420
370,1,431,456,461
371,1,442,420,404
372,1,420,442,456
373,1,434,404,395
374,1,404,434,442
375,1,424,395,390
376,1,395,424,434
377,1,462,461,456
378,1,461,462,464
379,1,454,456,442
380,1,456,454,462
381,1,440,442,434
382,1,442,440,454
383,1,436,434,424
384,1,434,436,440
385,1,417,436,435
386,1,436,417,422
387,1,397,435,407
388,1,435,397,417
389,1,366,407,373
390,1,407,366,397
391,1,373,263,366
392,1,386,422,417
393,1,422,386,388
394,1,374,417,397
395,1,417,374,386
396,1,350,397,366
397,1,397,350,374
398,1,366,263,350
399,1,342,388,386
400,1,388,342,346
401,1,330,386,374
402,1,386,330,342
403,1,322,374,350
404,1,374,322,330
405,1,350,263,322
406,1,248,346,342
407,1,346,248,246
408,1,254,342,330
409,1,342,254,248
410,1,256,330,322
411,1,330,256,254
412,1,322,263,256
413,1,185,246,248
414,1,246,185,178
415,1,196,248,254
416,1,248,196,185
417,1,204,254,256
418,1,254,204,196
419,1,256,263,204
420,1,140,178,185
421,1,178,140,136
422,1,152,185,196
423,1,185,152,140
424,1,176,196,204
425,1,196,176,152
426,1,204,263,176
427,1,109,136,140
428,1,136,109,102
429,1,129,140,152
430,1,140,129,109
431,1,160,152,176
432,1,152,160,129
433,1,176,263,160
434,1,92,102,109
435,1,102,92,89
436,1,120,109,129
437,1,109,120,92
438,1,154,129,160
439,1,129,154,120
440,1,160,263,154
441,1,110,89,92
442,1,89,110,104
443,1,130,92,120
444,1,92,130,110
445,1,161,120,154
446,1,120,161,130
447,1,154,263,161
448,1,141,104,110
449,1,104,141,138
450,1,153,110,130
451,1,110,153,141
452,1,177,130,161
453,1,130,177,153
454,1,161,263,177
455,1,186,138,141
456,1,138,186,180
457,1,197,141,153
458,1,141,197,186
459,1,205,153,177
460,1,153,205,197
461,1,177,263,205
462,1,279,180,186
463,1,180,279,280
464,1,273,186,197
465,1,186,273,279
466,1,271,197,205
467,1,197,271,273
468,1,205,263,271
469,1,343,280,279
