,MeshID,Vertice_X,Vertice_Y,Vertice_Z
490,1,109.99,5.54,94.49
491,1,110.24,0.00,94.49
492,1,110.63,-6.96,79.23
493,1,110.63,6.96,79.23
494,1,111.22,0.00,96.70
495,1,111.84,0.00,96.15
496,1,112.70,-3.32,94.49
497,1,112.70,3.32,94.49
498,1,112.88,0.00,78.43
499,1,113.08,-5.19,96.23
500,1,113.08,5.19,96.23
501,1,114.93,-4.43,96.83
502,1,114.93,4.43,96.83
503,1,114.99,-3.67,96.26
504,1,114.99,3.67,96.26
505,1,118.11,-7.38,94.49
506,1,118.11,-4.43,94.49
507,1,118.11,4.43,94.49
508,1,118.11,7.38,94.49
509,1,121.78,-6.92,96.41
510,1,121.78,6.92,96.41
511,1,121.92,-4.89,96.51
512,1,121.92,4.89,96.51
513,1,123.09,-5.91,97.12
514,1,123.09,5.91,97.12
515,1,123.52,-3.32,94.49
516,1,123.52,3.32,94.49
517,1,125.98,0.00,94.49
518,1,126.23,-5.54,94.49
519,1,126.23,5.54,94.49
520,1,128.85,-3.67,96.76
521,1,128.85,3.67,96.76
522,1,129.92,0.00,94.49
523,1,130.47,-5.19,96.59
524,1,130.47,5.19,96.59
525,1,131.26,-4.43,97.40
526,1,131.26,4.43,97.40
527,1,132.00,0.00,96.88
528,1,134.43,0.00,96.67
529,1,134.97,0.00,97.53
530,0,0,0,0
